status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
210623000268_10150638593370269,"Ever needed a vehicle for that weekend trip out of town, or while visiting another city? Getting one is as easy as calling us on 088-888-888-88, or logon to www.justdial.com ! Taxi Services, Car Rentals and even Buses - we list them all.","Taxis, Car and Bus Rentals.",photo,https://www.facebook.com/JustDial/photos/a.10150638592910269.452516.210623000268/10150638593195269/?type=3,2012-02-02 03:25:59,5,0,19,5,0,0,0,0,0
210623000268_10150636155560269,"Punjabi By Nature is a popular destination for foodies in Delhi, infamous for its unique creation of vodka gol gappas -- fried crispy shells filled with flavored vodka and other spices. The food and ambience are both excellent, with mouth-watering kebabs and service that ensures you leave with a smile. Must try dishes are the Raan-e-Punjab (roast leg of lamb), Naan bread, and vodka Gol Gappas.

Find the location @ http://tinyurl.com/6u8w4sw or visit www.justdial.com to find other restaurants near you.","City Food Spotlight: Punjabi by Nature, Delhi",photo,https://www.facebook.com/JustDial/photos/a.10150636154115269.452285.210623000268/10150636154205269/?type=3,2012-02-01 06:15:07,17,1,2,17,0,0,0,0,0
210623000268_10150636155565269,"Punjabi By Nature is a popular destination for foodies in Delhi, infamous for its unique creation of vodka gol gappas -- fried crispy shells filled with flavored vodka and other spices. The food and ambience are both excellent, with mouth-watering kebabs and service that ensures you leave with a smile. Must try dishes are the Raan-e-Punjab (roast leg of lamb), Naan bread, and vodka Gol Gappas.

Find the location @ http://tinyurl.com/6u8w4sw or visit www.justdial.com to find other restaurants near you.","City Food Spotlight: Punjabi by Nature, Delhi",photo,https://www.facebook.com/JustDial/photos/a.10150636154115269.452285.210623000268/10150636154355269/?type=3,2012-02-01 06:15:07,42,4,8,42,0,0,0,0,0
210623000268_10150636155575269,"Punjabi By Nature is a popular destination for foodies in Delhi, infamous for its unique creation of vodka gol gappas -- fried crispy shells filled with flavored vodka and other spices. The food and ambience are both excellent, with mouth-watering kebabs and service that ensures you leave with a smile. Must try dishes are the Raan-e-Punjab (roast leg of lamb), Naan bread, and vodka Gol Gappas.

Find the location @ http://tinyurl.com/6u8w4sw or visit www.justdial.com to find other restaurants near you.","City Food Spotlight: Punjabi by Nature, Delhi",photo,https://www.facebook.com/JustDial/photos/a.10150636154115269.452285.210623000268/10150636154460269/?type=3,2012-02-01 06:15:07,24,3,3,24,0,0,0,0,0
210623000268_10150633113815269,"We have all read comics as kids. Tinkle, Chandamama, Jataka Tales, Akbar & Birbal, Chacha Chaudhary and even epics like the Mahabharat and Ramayan have captured our imaginations! What's your favourite Indian Comic?

Revisit your childhood, visit www.justdial.com to find a book store near you today.",What's your favourite Indian Comic!,photo,https://www.facebook.com/JustDial/photos/a.10150633113530269.451999.210623000268/10150633113620269/?type=3,2012-01-31 02:34:47,23,2,3,23,0,0,0,0,0
210623000268_10150633113820269,"We have all read comics as kids. Tinkle, Chandamama, Jataka Tales, Akbar & Birbal, Chacha Chaudhary and even epics like the Mahabharat and Ramayan have captured our imaginations! What's your favourite Indian Comic?

Revisit your childhood, visit www.justdial.com to find a book store near you today.",What's your favourite Indian Comic!,photo,https://www.facebook.com/JustDial/photos/a.10150633113530269.451999.210623000268/10150633113640269/?type=3,2012-01-31 02:34:47,34,4,1,34,0,0,0,0,0
210623000268_10150633113810269,"We have all read comics as kids. Tinkle, Chandamama, Jataka Tales, Akbar & Birbal, Chacha Chaudhary and even epics like the Mahabharat and Ramayan have captured our imaginations! What's your favourite Indian Comic?

Revisit your childhood, visit www.justdial.com to find a book store near you today.",What's your favourite Indian Comic!,photo,https://www.facebook.com/JustDial/photos/a.10150633113530269.451999.210623000268/10150633113605269/?type=3,2012-01-31 02:34:46,26,6,2,26,0,0,0,0,0
210623000268_10150630316095269,Catch the hottest movies of last week @ http://www.facebook.com/JustDial?sk=app_10442206389 . Visit http://movies.justdial.com/ to find a theatre near you!,JD Movie Trends January 30th 2012,photo,https://www.facebook.com/JustDial/photos/a.10150630315555269.451697.210623000268/10150630315710269/?type=3,2012-01-30 04:50:45,23,1,2,23,0,0,0,0,0
210623000268_10150630316080269,Catch the hottest movies of last week @ http://www.facebook.com/JustDial?sk=app_10442206389 . Visit http://movies.justdial.com/ to find a theatre near you!,JD Movie Trends January 30th 2012,photo,https://www.facebook.com/JustDial/photos/a.10150630315555269.451697.210623000268/10150630315665269/?type=3,2012-01-30 04:50:45,70,24,13,70,0,0,0,0,0
210623000268_10150630316100269,Catch the hottest movies of last week @ http://www.facebook.com/JustDial?sk=app_10442206389 . Visit http://movies.justdial.com/ to find a theatre near you!,JD Movie Trends January 30th 2012,photo,https://www.facebook.com/JustDial/photos/a.10150630315555269.451697.210623000268/10150630315730269/?type=3,2012-01-30 04:50:45,34,6,3,34,0,0,0,0,0
